2025-03-12 13:23:37.6574 | INFO | Request starting HTTP/1.1 GET http://localhost:5115/_framework/aspnetcore-browser-refresh.js - - 
2025-03-12 13:23:37.6574 | INFO | Request starting HTTP/1.1 GET http://localhost:5115/_vs/browserLink - - 
2025-03-12 13:23:37.6574 | INFO | Request finished HTTP/1.1 GET http://localhost:5115/_framework/aspnetcore-browser-refresh.js - - - 200 11986 application/javascript;+charset=utf-8 0.6192ms 
2025-03-12 13:23:37.6787 | INFO | Request finished HTTP/1.1 GET http://localhost:5115/_vs/browserLink - - - 200 - text/javascript;+charset=UTF-8 21.3861ms 
2025-03-12 13:23:37.7225 | INFO | Request starting HTTP/1.1 GET http://localhost:5115/swagger/v1/swagger.json - - 
2025-03-12 13:23:37.7312 | INFO | Request finished HTTP/1.1 GET http://localhost:5115/swagger/v1/swagger.json - - - 200 - application/json;charset=utf-8 8.8091ms 
2025-03-12 13:23:59.4367 | INFO | Request starting HTTP/1.1 GET http://localhost:5115/swagger/index.html - - 
2025-03-12 13:23:59.4628 | INFO | Request finished HTTP/1.1 GET http://localhost:5115/swagger/index.html - - - 200 - text/html;charset=utf-8 26.2435ms 
2025-03-12 13:23:59.5028 | INFO | Request starting HTTP/1.1 GET http://localhost:5115/_vs/browserLink - - 
2025-03-12 13:23:59.5028 | INFO | Request starting HTTP/1.1 GET http://localhost:5115/_framework/aspnetcore-browser-refresh.js - - 
2025-03-12 13:23:59.5028 | INFO | Request finished HTTP/1.1 GET http://localhost:5115/_framework/aspnetcore-browser-refresh.js - - - 200 11986 application/javascript;+charset=utf-8 0.3562ms 
2025-03-12 13:23:59.5173 | INFO | Request finished HTTP/1.1 GET http://localhost:5115/_vs/browserLink - - - 200 - text/javascript;+charset=UTF-8 14.5108ms 
2025-03-12 13:23:59.5578 | INFO | Request starting HTTP/1.1 GET http://localhost:5115/swagger/v1/swagger.json - - 
2025-03-12 13:23:59.5656 | INFO | Request finished HTTP/1.1 GET http://localhost:5115/swagger/v1/swagger.json - - - 200 - application/json;charset=utf-8 7.8664ms 
2025-03-12 13:24:10.5094 | INFO | Request starting HTTP/1.1 POST http://localhost:5115/api/Users/login application/json 58 
2025-03-12 13:24:10.5094 | INFO | Executing endpoint 'FullDemo.Controllers.UsersController.Login (FullDemo)' 
2025-03-12 13:24:10.5135 | INFO | Route matched with {action = "Login", controller = "Users"}. Executing controller action with signature Microsoft.AspNetCore.Mvc.ActionResult`1[FullDemo.Models.Response] Login(FullDemo.Models.DTO.DTOITH02) on controller FullDemo.Controllers.UsersController (FullDemo). 
2025-03-12 13:24:10.5135 | INFO | Executing action method FullDemo.Controllers.UsersController.Login (FullDemo) - Validation state: Valid 
2025-03-12 13:24:10.5135 | INFO | Executed action method FullDemo.Controllers.UsersController.Login (FullDemo), returned result Microsoft.AspNetCore.Mvc.BadRequestObjectResult in 6.5955ms. 
2025-03-12 13:24:10.5135 | INFO | Executing BadRequestObjectResult, writing value of type 'FullDemo.Models.Response'. 
2025-03-12 13:24:10.5135 | INFO | Executed action FullDemo.Controllers.UsersController.Login (FullDemo) in 13.5984ms 
